ID	Symbols	Sites	Effect	IGF1-DMSO-12hr	IGF1-DMSO-15min	IGF1-DMSO-24hr	IGF1-DMSO-2hr	IGF1-DMSO-30min	IGF1-DMSO-48hr	IGF1-DMSO-4hr	IGF1-DMSO-5min	IGF1-DMSO-60min	Serum-DMSO-12hr	Serum-DMSO-15min	Serum-DMSO-24hr	Serum-DMSO-2hr	Serum-DMSO-30min	Serum-DMSO-48hr	Serum-DMSO-4hr	Serum-DMSO-5min	Serum-DMSO-60min
14-3-3-epsilon	YWHAE			0.171057101268609	0.194790031987549	0.163906434848441	0.177261739774802	0.182589254934163	0.164627026402991	0.172925152446097	0.17830473892332	0.19018231196011	0.167458587613189	0.167955461461073	0.16802073873363	0.144491035047731	0.165110790436258	0.16482610065569	0.167705073543288	0.164249322508623	0.161502913818164
4E-BP1	EIF4EBP1			0.229622725095502	0.247363738086096	0.23734844217118	0.240847338785389	0.243942563124312	0.22837196671574	0.240868094681776	0.22958745926028	0.253134940598228	0.249941432001143	0.269436743717851	0.243464755094726	0.236888306786052	0.257134696290079	0.238352317077588	0.265482019911796	0.275295402879923	0.239982157103301
4E-BP1_pS65	EIF4EBP1	S65	i	0.790393066545134	0.889812284509656	0.871680220082965	0.835916415374186	0.883827463799515	0.833688915554556	0.834974771844347	0.73128928217019	0.895078200141008	0.891619381405238	0.914115774489922	0.921603808237505	0.834979472645437	0.773484030783297	0.917674105722464	0.865559990664383	0.777643423330865	0.944846650847976
53BP1	TP53BP1			1.02575469920031	1.10017927128579	1.06501666605189	1.17661728330506	1.14166191896764	1.08033502492709	1.10735580942519	1.04570998716554	1.16881269061177	1.16061548395698	1.11165523589243	1.03179716412462	1.06147251788014	1.10976267281989	1.10513941814884	1.06670105087524	1.13820773976398	1.3051044917593
ACC1	ACACA			3.39144010833625	2.30578519695876	4.25428441407793	3.66559103474523	2.77295015358059	5.71059333668212	3.27703461583278	2.97479885517096	2.80980109613395	2.03347898221022	3.35569834062491	3.04257624708382	1.8114600872211	3.52506453895751	3.0363275785226	3.35271645990383	3.53878654986005	1.54517849829969
ACC_pS79	ACACA ACACB	S79|S80 S222	a	0.175952764269258	0.235185233846559	0.300544846210963	0.155178021494326	0.133577689824082	0.240790328888039	0.159487211201492	0.181767802000722	0.138686795761313	0.214665056202401	0.226250781412927	0.198952554264039	0.218742087768139	0.196291659888067	0.200478024172702	0.199472562230276	0.207043307385968	0.11349726055566
AIB1	NCOA3			1.38096422848913	1.39342026504542	1.52253286575954	1.40832193797529	1.29443029276774	1.22973146974052	1.31411676161191	1.25604466901479	1.20010656350731	1.41595961291836	1.17220208779686	1.32861231164428	1.27576696933446	1.13518794846847	1.57876674991598	1.32357651114574	1.2266215690984	1.49208063749321
AMPKa	PRKAA1			0.78138080986095	0.859990419605589	0.818464202711988	0.803821706770544	0.889060083296797	0.800402503549034	0.883106737623134	0.82049445105865	0.858107956160952	0.844423530624132	0.894786043432843	0.930192855002337	0.866007592477138	0.80982629128101	0.831767742253877	0.868023675569814	0.864463349674552	0.814798654025412
AMPKa_pT172	PRKAA1	T172|S172	a	1.29442549146619	1.91690475425666	1.60423279396508	1.19849451735486	1.26106902028887	1.79975826164165	1.36596951567164	1.60925488700486	1.43305180553139	1.61275535854421	1.75530249666769	1.61102855363571	1.49164569933466	1.65244797298368	2.21750107875342	1.88499394492094	1.68210553968719	1.30625018110423
AR	AR			0.594402335484701	0.592508282067919	0.662342074532708	0.677145624102988	0.603010885464498	0.596671546552005	0.61838975510755	0.593480426754798	0.555873311601092	0.48809084348976	0.664073650178524	0.52275767645312	0.542335548334636	0.665671348745306	0.62818096535606	0.614880912317764	0.684309172187668	0.604066330644329
Akt	AKT1 AKT2 AKT3			3.85843939556009	4.11674671900519	4.50007648683473	4.40356136134045	4.27741178240561	4.91131651287007	4.29946885583274	4.4490179988103	4.36405456042113	4.35481385111299	4.86571998946717	4.73905605723314	4.74022161471883	5.58076804484839	4.50411888466243	4.2773799617124	4.62692980465033	4.70501364923443
Akt_pS473	AKT1 AKT2 AKT3	S473 S474 S472	a	0.577980407358644	0.610808800311845	0.234113618268254	0.921200307764676	1.25783711487891	0.457408861841973	1.0853878133199	0.679943961185911	0.977050035457456	0.217631489855685	0.198216909584991	0.221306295531936	0.192638446972782	0.290759946738757	0.115525785846107	0.330236035896886	0.122820428180083	0.310307376859608
Akt_pT308	AKT1 AKT2 AKT3	T308 T309 T305	a	0.544508040768521	0.750435101924234	0.457036814209819	0.856912309914883	1.07584544298648	0.518488621177554	0.916425915018313	0.718616894402426	0.843898374548467	0.381095378602098	0.303080208588438	0.416675346179098	0.372430732061258	0.435499205347653	0.289445021710131	0.347206610122816	0.275002752716859	0.358096038108248
Annexin-I	ANXA1			0.050501260453036	0.052070430158085	0.101008345404051	0.047557078204752	0.047877075383109	0.208423168794884	0.053454990962096	0.053193153008734	0.046905959553855	0.05032463875627	0.050364600056642	0.066022338073689	0.046585692114894	0.051357119922887	0.051990934545593	0.052125396691072	0.0482464687828	0.055973311493338
Bad_pS112	BAD	S112|S118	a	0.798611866734121	0.803079232940707	0.745053986958478	0.8919487429692	0.84768840216785	0.705613230796577	0.91808676588113	0.657214777148485	0.928878923854825	0.905345579960884	0.769241367670421	0.801967211557355	0.95435042179761	0.754639859051309	0.714418614116227	0.94539709793003	0.703628549933125	1.02680841202939
Bak	BAK1			0.197740560049995	0.219250933028427	0.217714250108322	0.241556338193471	0.208173980367136	0.201175895525853	0.229755538920711	0.215949014084741	0.210439740123141	0.20673813411494	0.215739283838975	0.222013098800767	0.19627396363696	0.218884328048898	0.233017438222166	0.23383851446313	0.237430921184811	0.228757083932776
Bax	BAX			1.03700355543761	1.09786392041406	0.9461000337404	1.04115963466147	1.10382976657135	1.15077812936916	0.996355593239123	1.09604853895406	1.0969399960145	1.0630093550103	1.1626788580718	1.03065466964559	1.12809195463716	1.02303775856775	1.01191658966347	0.975629831151192	1.06969060567978	1.16828954656769
Bcl-xL	BCL2L1			0.310814617425468	0.386653242627593	0.262135090850308	0.310174608016615	0.404275625251033	0.294784424073587	0.330427627679342	0.343668215298723	0.380269563564401	0.287576545830515	0.35009843262697	0.302701052250409	0.363609227351787	0.28950147412438	0.295091301424027	0.261807419848398	0.267607704425997	0.304972153816546
Bcl2	BCL2			0.726882918175988	0.829167786416597	0.79135119883372	0.773027158161326	0.777584495390623	0.79700961336105	0.744216587436851	0.768583730182858	0.742139208211088	0.673139327536165	0.701641144240356	0.663836034974086	0.693704391898184	0.656984385419772	0.597542297598544	0.676479089983859	0.635811250494107	0.767582490947354
